name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie,age_at_win
Ben Johnson,1918.0,1918-06-13,"Shidler, Ok",White,Unknown,Straight,1972.0,Best Supporting Actor,The Last Picture Show,54.0
Teresa Wright,1918.0,1918-10-27,New York City,White,Unknown,Straight,1943.0,Best Supporting Actress,Mrs. Miniver,25.0
Susan Hayward,1918.0,1918-06-30,"Brooklyn, Ny",White,Roman Catholic,Straight,1959.0,Best Actress,I Want To Live!,41.0
Lila Kedrova,1918.0,1918-10-09,"St. Petersburg, Russia",White,Unknown,Straight,1965.0,Best Supporting Actress,Zorba the Greek,47.0
William Holden,1918.0,1918-04-17,"O'fallon, Il",White,Unknown,Straight,1954.0,Best Actor,Stalag 17,36.0
Red Buttons,1919.0,1919-02-05,New York City,White,Jewish,Straight,1958.0,Best Supporting Actor,Sayonara,39.0
Jack Palance,1919.0,1919-02-18,"Lattimer Mines, Pa",White,Unknown,Straight,1992.0,Best Supporting Actor,City Slickers,73.0
Eileen Heckart,1919.0,1919-03-29,"Columbus, Oh",White,Unknown,Straight,1973.0,Best Supporting Actress,Butterflies Are Free,54.0
Martin Balsam,1919.0,1919-11-04,"Bronx, Ny",White,Unknown,Straight,1966.0,Best Supporting Actor,A Thousand Clowns,47.0
Jennifer Jones,1919.0,1919-03-02,"Tulsa, Ok",White,Roman Catholic,Straight,1944.0,Best Actress,The Song of Bernadette,25.0
Yul Brynner,1920.0,1920-07-11,"Vladivostok, Russia",White,Unknown,Straight,1957.0,Best Actor,The King and I,37.0
Franklin J. Schaffner,1920.0,1920-05-30,"Tokyo, Japan",White,Unknown,Straight,1970.0,Best Director,Patton,50.0
Delbert Mann,1920.0,1920-01-30,"Lawrence, Ks",White,Presbyterian,Straight,1956.0,Best Director,Marty,36.0
Walter Matthau,1920.0,1920-10-01,New York City,White,Jewish,Straight,1967.0,Best Supporting Actor,The Fortune Cookie,47.0
Shelley Winters,1920.0,1920-08-18,"St. Louis, Mo",White,Jewish,Straight,1960.0,Best Supporting Actress,The Diary of Anne Frank,40.0
Shelley Winters,1920.0,1920-08-18,"St. Louis, Mo",White,Jewish,Straight,1966.0,Best Supporting Actress,A Patch of Blue,46.0
Judy Holliday,1921.0,1921-06-21,New York City,White,Unknown,Straight,1951.0,Best Actress,Born Yesterday,30.0
George Roy Hill,1921.0,1921-12-20,"Minneapolis, Mn",White,Unknown,Straight,1973.0,Best Director,The Sting,52.0
Simone Signoret,1921.0,1921-03-25,"Wiesbaden, Germany",White,Unknown,Straight,1960.0,Best Actress,Room at the Top,39.0
Donna Reed,1921.0,1921-01-27,"Denison, Ia",White,Unknown,Straight,1954.0,Best Supporting Actress,From Here to Eternity,33.0
Peter Ustinov,1921.0,1921-04-16,"London, England",White,Unknown,Straight,1961.0,Best Supporting Actor,Spartacus,40.0
Peter Ustinov,1921.0,1921-04-16,"London, England",White,Unknown,Straight,1965.0,Best Supporting Actor,Topkapi,44.0
Paul Scofield,1922.0,1922-01-21,"Hurstpierpoint, West Sussex, England",White,Unknown,Straight,1967.0,Best Actor,A Man For All Seasons,45.0
Kim Hunter,1922.0,1922-11-12,"Detroit, Mi",White,Unknown,Straight,1952.0,Best Supporting Actress,A Streetcar Named Desire,30.0
Jason Robards,1922.0,1922-07-26,"Chicago, Il",White,Unknown,Straight,1978.0,Best Supporting Actor,Julia,56.0
Jason Robards,1922.0,1922-07-26,"Chicago, Il",White,Unknown,Straight,1977.0,Best Supporting Actor,All the President's Men,55.0
Richard Attenborough,1923.0,1923-08-29,"Cambridge, England",White,Unknown,Straight,1982.0,Best Director,Gandhi,59.0
Charlton Heston,1923.0,1923-10-04,"Evanston, Il",White,Protestant,Straight,1960.0,Best Actor,Ben-hur,37.0
Gloria Grahame,1923.0,1923-11-28,"Los Angeles, Ca",White,Unknown,Straight,1953.0,Best Supporting Actress,The Bad and the Beautiful,30.0
Anne Baxter,1923.0,1923-05-07,"Michigan City, In",White,Unknown,Straight,1947.0,Best Supporting Actress,The Razor's Edge,24.0
Cliff Robertson,1923.0,1923-09-09,"La Jolla, Ca",White,Unknown,Straight,1969.0,Best Actor,Charly,46.0
Geraldine Page,1924.0,1924-11-22,"Kirksville, Mo",White,Unknown,Straight,1986.0,Best Actress,The Trip to Bountiful,62.0
Eva Marie Saint,1924.0,1924-07-04,"Newark, Nj",White,Unknown,Straight,1955.0,Best Supporting Actress,On the Waterfront,31.0
Lee Marvin,1924.0,1924-02-19,New York City,White,Unknown,Straight,1966.0,Best Actor,Cat Ballou,42.0
Marlon Brando,1924.0,1924-04-03,"Omaha, Ne",White,Deist,Bisexual,1973.0,Best Actor,The Godfather,49.0
Marlon Brando,1924.0,1924-04-03,"Omaha, Ne",White,Deist,Bisexual,1955.0,Best Actor,On the Waterfront,31.0
Paul Newman,1925.0,1925-01-26,"Shaker Heights, Oh",White,Jewish,Straight,1987.0,Best Actor,The Color of Money,62.0
Dorothy Malone,1925.0,1925-01-30,"Chicago, Il",White,Unknown,Straight,1957.0,Best Supporting Actress,Written on the Wind,32.0
Maureen Stapleton,1925.0,1925-06-21,"Troy, Ny",White,Roman Catholic,Straight,1982.0,Best Supporting Actress,Reds,57.0
Rod Steiger,1925.0,1925-04-14,"Westhampton, Ny",White,Lutheran,Straight,1968.0,Best Actor,In the Heat of the Night,43.0
George Kennedy,1925.0,1925-02-18,New York City,White,Unknown,Straight,1968.0,Best Supporting Actor,Cool Hand Luke,43.0
